filename,dimensions,frame_count,color_count,semi_transparent_pixel_count
tom_sawyer_celebrate.png,128x64,2,20,0
tom_sawyer_idle.png,128x64,2,19,0
tom_sawyer_pitch.png,256x64,4,22,0
tom_sawyer_run.png,256x64,4,22,0
tom_sawyer_swing.png,256x64,4,22,0
vampire_batting_stance.png,64x64,1,7,0
vampire_celebrate.png,128x64,2,22,0
vampire_idle.png,128x64,2,22,0
vampire_pitch.png,256x64,4,25,0
vampire_run.png,256x64,4,21,0
vampire_swing.png,256x64,4,24,0
zombie_batting_stance.png,64x64,1,23,0
zombie_celebrate.png,128x64,2,25,0
zombie_idle.png,128x64,2,22,0
zombie_pitch.png,256x64,4,25,0
zombie_run.png,256x64,4,24,0
zombie_swing.png,256x64,4,25,0
