show_id,show_date,year,venue,city,state,set,position,song,song_id,is_cover,original_artist,length_sec,show_gap,times_played,rarity_rating,crowd_rating,is_jamchart,is_recommended,jamchart_note,transition,is_segue,tags,footnote,show_notes,teases
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,1,8,Rosetta,539,true,Earl Hines,,0,1,0,,false,false,,",",false,,Earl Hines. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,1,9,Madhuvan,512,false,,,0,1,0,75,false,false,,",",false,opener|closer|jam,First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,1,10,Turned Clouds,400,false,,,1,2,0,,false,false,,",",false,,,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,1,11,Indian River,410,false,,,0,1,0,50,false,false,,",",false,,First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,1,12,Lead the Way,406,false,,,0,1,0,44,false,false,,,false,opener,First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,13,Wild Night,588,true,Van Morrison,,0,1,0,,false,false,,",",false,opener|closer,Van Morrison. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,14,Boogie On Reggae Woman,441,true,Stevie Wonder,,0,1,0,,false,false,,",",false,,Stevie Wonder. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,15,One More Saturday Night,528,true,Grateful Dead,,0,1,0,,false,false,,",",false,closer|encore,Grateful Dead. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,16,Linus And Lucy,507,true,Vince Guaraldi,,0,2,0,,false,false,,",",false,opener|closer|encore,Vince Guaraldi.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,17,Dancing In The Moonlight,456,true,King Harvest,,0,1,0,,false,false,,",",false,encore,King Harvest. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,18,Mustang Sally,427,true,Wilson Pickett,,0,1,0,,false,false,,",",false,closer|encore,Wilson Pickett. First known version.,,
