strip,character,animation,classification,needs_art_reasons,classification_after_bg,after_bg_reasons,recovered_by_bg_removal,width,height,frame_count,expected_frames,color_count,semi_transparent_pixels,opaque_pixels_per_frame,opaque_coverage_pct,baseline_per_frame,interior_hole_pixels,interior_hole_total,edge_pixels_x0,edge_pixels_x63,background_pixels_per_frame,detached_islands,detached_island_detail,identical_frame_pairs,consecutive_frame_deltas
paul_bunyan_idle,paul_bunyan,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,24,0,1785;1713,43.58;41.82,62;62,2;4,6,0;0,0;0,0;0,0,,,1088
paul_bunyan_pitch,paul_bunyan,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,24,0,1687;1344;1556;1558,41.19;32.81;37.99;38.04,62;62;62;62,0;0;0;0,0,0;0;7;0,0;0;10;0,0;0;0;0,3,"f1:5px@59,58-59,62 f2:28px@60,20-63,29 f3:51px@3,20-8,29",,1807;1561;2030
paul_bunyan_run,paul_bunyan,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,23,0,1657;1682;1562;1635,40.45;41.06;38.13;39.92,63;63;62;62,0;0;4;0,4,0;0;0;0,0;0;0;0,0;0;0;0,2,"f0:123px@8,53-24,63 f1:133px@11,53-27,63",,1156;2202;1230
paul_bunyan_swing,paul_bunyan,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,24,0,1644;1497;1633;1592,40.14;36.55;39.87;38.87,62;62;62;62,0;0;0;0,0,0;0;8;0,0;0;19;0,0;0;0;0,3,"f2:65px@0,29-8,37 f3:48px@3,42-8,50 f3:44px@3,31-7,40",,1701;1393;2092
peter_pan_batting_stance,peter_pan,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,21,0,990,24.17,62,16,16,0,0,0,1,"f0:5px@45,58-45,62",,
peter_pan_celebrate,peter_pan,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,25,0,1202;1164,29.35;28.42,62;62,7;1,8,0;0,0;0,0;0,1,"f1:4px@3,26-3,29",,1438
peter_pan_idle,peter_pan,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,25,0,1033;1243,25.22;30.35,62;62,0;0,0,0;0,0;0,0;0,3,"f1:45px@4,17-7,33 f1:32px@4,56-9,62 f1:27px@4,45-7,53",,1569
peter_pan_pitch,peter_pan,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,25,0,1174;1136;1198;1103,28.66;27.73;29.25;26.93,62;62;62;62,0;0;0;0,0,0;0;0;0,0;0;0;0,2;0;0;0,1,"f2:72px@53,24-62,32",,1077;1396;1499
peter_pan_run,peter_pan,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,25,0,1205;1102;1068;1142,29.42;26.9;26.07;27.88,62;62;62;62,2;0;0;0,2,0;0;0;0,0;0;0;0,0;0;0;0,5,"f0:11px@16,1-26,1 f1:14px@28,0-41,0 f2:14px@33,0-46,0 f2:5px@12,0-16,0 f3:13px@33,0-45,0",,908;990;1048
peter_pan_swing,peter_pan,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,25,0,1294;1065;1256;1145,31.59;26.0;30.66;27.95,62;62;62;62,12;0;0;0,12,0;0;0;0,0;0;0;0,0;0;1;0,1,"f2:26px@57,23-60,30",,822;1723;1899
phoenix_batting_stance,phoenix,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (107 px),,64,64,1,1,15,0,4096,100.0,63,0,0,64,64,3989,0,,,
phoenix_celebrate,phoenix,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (96 px); f1 still clipped after background,,128,64,2,2,17,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4000;2043,0,,,2058
phoenix_idle,phoenix,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 still clipped after background; f1 still clipped after background,,128,64,2,2,20,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,3835;2511,0,,,1796
phoenix_pitch,phoenix,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,23,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2337;2282;2308;2385,0,,,1290;1680;1778
phoenix_run,phoenix,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f0 still clipped after background; f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,21,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2743;2177;2603;2771,0,,,1424;1415;727
phoenix_swing,phoenix,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,19,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2316;2210;2354;2277,0,,,1547;1533;1919
pirate_batting_stance,pirate,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (36 px),,64,64,1,1,9,0,4096,100.0,63,0,0,64,64,4060,0,,,
pirate_celebrate,pirate,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,24,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2725,0,,,1339
pirate_idle,pirate,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,25,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2751,0,,,1316
pirate_pitch,pirate,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2805;2816;2791;2967,0,,,1146;1681;1520
pirate_run,pirate,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3121;3012;3134;3067,0,,,1176;1175;1164
pirate_swing,pirate,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2874;2960;2939;3072,0,,,1549;1663;1770
popeye_batting_stance,popeye,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,19,0,389,9.5,63,0,0,0,0,0,3,"f0:23px@35,0-42,2 f0:12px@22,0-25,2 f0:12px@27,0-30,2",,
popeye_celebrate,popeye,celebrate,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,20,0,0;1403,0.0;34.25,-1;62,0;0,0,0;0,0;0,0;0,0,,,1403
popeye_idle,popeye,idle,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,20,0,0;1397,0.0;34.11,-1;62,0;0,0,0;0,0;0,0;0,0,,,1397
popeye_pitch,popeye,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,22,0,1539;1598;1437;1486,37.57;39.01;35.08;36.28,62;62;62;62,1;4;0;0,5,0;0;12;0,0;0;5;0,0;0;0;0,14,"f0:34px@38,1-54,2 f0:28px@13,1-26,2 f1:47px@57,52-61,62 f1:32px@26,1-41,2 f1:28px@2,1-15,2 f2:32px@25,1-40,2 f2:28px@1,1-14,2 f2:16px@52,26-59,27 f2:9px@56,29-61,30 f2:5px@56,23-60,23 f2:5px@63,24-63,28 f3:76px@2,21-10,31 f3:34px@37,1-53,2 f3:26px@16,1-28,2",,1736;1899;1990
popeye_run,popeye,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,20,0,1506;1493;1379;1528,36.77;36.45;33.67;37.3,62;62;62;62,0;1;0;21,22,0;0;0;0,0;0;0;0,0;0;0;0,0,,,750;901;980
popeye_swing,popeye,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,21,0,1543;1380;1449;1331,37.67;33.69;35.38;32.5,62;63;63;62,0;0;0;0,0,0;0;9;0,0;0;10;0,0;0;0;0,7,"f1:28px@40,0-53,1 f2:32px@1,0-16,1 f2:28px@0,44-3,52 f2:6px@53,35-55,38 f2:6px@52,51-55,54 f2:4px@49,35-49,38 f3:15px@5,39-7,45",,1882;849;2144
poseidon_batting_stance,poseidon,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (59 px),,64,64,1,1,9,0,4096,100.0,63,0,0,64,64,4037,0,,,
poseidon_celebrate,poseidon,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,20,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2503,0,,,1538
poseidon_idle,poseidon,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,20,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2707,0,,,1308
poseidon_pitch,poseidon,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background,,256,64,4,4,22,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2848;3005;2616;2874,0,,,1466;1475;1652
poseidon_run,poseidon,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,20,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3030;2841;2786;3022,0,,,1190;1163;852
poseidon_swing,poseidon,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f3 still clipped after background,,256,64,4,4,23,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2830;2803;2894;2918,0,,,1567;1304;2008
quasimodo_batting_stance,quasimodo,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (3 px),,64,64,1,1,2,0,4096,100.0,63,0,0,64,64,4093,0,,,
quasimodo_celebrate,quasimodo,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,19,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2711,0,,,1378
quasimodo_idle,quasimodo,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,19,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2988,0,,,1096
quasimodo_pitch,quasimodo,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,23,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3003;2777;2853;2881,0,,,1417;1769;1697
quasimodo_run,quasimodo,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,20,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3042;2882;2955;2979,0,,,999;1113;875
quasimodo_swing,quasimodo,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2913;2865;2879;2881,0,,,1695;1543;1941
rabid_dog_batting_stance,rabid_dog,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (26 px),,64,64,1,1,9,0,4096,100.0,63,0,0,64,64,4070,0,,,
rabid_dog_celebrate,rabid_dog,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (38 px); f1 still clipped after background,,128,64,2,2,24,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4058;2539,0,,,1575
rabid_dog_idle,rabid_dog,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (19 px); f1 still clipped after background,,128,64,2,2,22,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4077;2665,0,,,1439
rabid_dog_pitch,rabid_dog,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2880;2919;2856;2922,0,,,1640;1436;1455
rabid_dog_run,rabid_dog,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2934;2895;2739;3032,0,,,1132;1237;1177
rabid_dog_swing,rabid_dog,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2806;2705;2553;2760,0,,,1705;1575;1922
ringmaster_batting_stance,ringmaster,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",REPAIRABLE,,yes,64,64,1,1,24,0,4096,100.0,63,0,0,64,64,2906,0,,,
ringmaster_celebrate,ringmaster,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,25,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,2957;3118,0,,,1367
ringmaster_idle,ringmaster,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,24,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,3015;3042,0,,,1936
ringmaster_pitch,ringmaster,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3040;2967;3036;3078,0,,,1359;1632;1250
ringmaster_run,ringmaster,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3116;3098;3361;3442,0,,,1242;1118;867
ringmaster_swing,ringmaster,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2922;3054;3100;3077,0,,,1104;1692;1429
santa_batting_stance,santa,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (149 px),,64,64,1,1,13,0,4096,100.0,63,0,0,64,64,3947,0,,,
santa_celebrate,santa,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,24,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2757,0,,,1333
santa_idle,santa,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,23,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2809,0,,,1279
santa_pitch,santa,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2643;2565;2772;2731,0,,,1417;1677;1208
santa_run,santa,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2854;2819;2758;2789,0,,,1191;1361;1076
santa_swing,santa,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2639;2755;2709;2814,0,,,1741;1583;1482
sasquatch_batting_stance,sasquatch,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",REPAIRABLE,,yes,64,64,1,1,17,0,4096,100.0,63,0,0,64,64,2689,0,,,
sasquatch_celebrate,sasquatch,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,18,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,2593;2634,0,,,1366
sasquatch_idle,sasquatch,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,17,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,2650;2641,0,,,1667
sasquatch_pitch,sasquatch,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,23,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2397;2372;2599;2527,0,,,1674;1921;1494
sasquatch_run,sasquatch,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,19,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2509;2395;2598;2696,0,,,1479;1316;916
sasquatch_swing,sasquatch,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background,,256,64,4,4,20,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2634;2693;2695;2857,0,,,1581;1308;1436
scarecrow_batting_stance,scarecrow,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (37 px),,64,64,1,1,9,0,4096,100.0,63,0,0,64,64,4059,0,,,
scarecrow_celebrate,scarecrow,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,18,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;3119,0,,,955
scarecrow_idle,scarecrow,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,15,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;3168,0,,,921
scarecrow_pitch,scarecrow,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background,,256,64,4,4,21,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3134;2897;2944;3177,0,,,1233;1626;1568
scarecrow_run,scarecrow,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,18,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3207;3083;3065;3258,0,,,980;1156;919
scarecrow_swing,scarecrow,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,20,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3103;3172;3137;3204,0,,,987;1534;1539
tom_sawyer_batting_stance,tom_sawyer,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,19,0,1523,37.18,62,0,0,0,0,0,0,,,
tom_sawyer_celebrate,tom_sawyer,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,20,0,1515;1464,36.99;35.74,62;62,4;0,4,0;0,0;0,0;0,0,,,1213
tom_sawyer_idle,tom_sawyer,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,19,0,1344;1279,32.81;31.23,62;62,1;5,6,0;0,0;0,0;0,1,"f0:31px@52,22-56,29",,835
tom_sawyer_pitch,tom_sawyer,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,22,0,1550;1350;1447;1363,37.84;32.96;35.33;33.28,62;62;62;62,8;7;0;0,15,0;0;10;0,0;0;10;0,0;0;0;0,3,"f1:87px@55,50-62,62 f2:48px@58,21-63,30 f3:19px@4,22-6,30",,1823;1323;1973
tom_sawyer_run,tom_sawyer,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1473;1468;1415;1398,35.96;35.84;34.55;34.13,62;62;62;62,6;6;1;0,13,0;0;0;0,0;0;0;0,0;0;0;0,0,,,732;1065;601
tom_sawyer_swing,tom_sawyer,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,22,0,1532;1439;1495;1423,37.4;35.13;36.5;34.74,62;62;62;62,4;0;0;0,4,0;0;21;0,0;0;7;0,0;0;1;1,5,"f1:6px@60,57-60,62 f2:61px@56,33-63,42 f2:15px@0,32-2,38 f2:5px@51,31-53,32 f3:11px@6,35-7,41",,1923;1542;2326
vampire_batting_stance,vampire,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (25 px),,64,64,1,1,7,0,4096,100.0,63,0,0,64,64,4071,0,,,
vampire_celebrate,vampire,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,22,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2769,0,,,1301
vampire_idle,vampire,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,22,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;2957,0,,,1101
vampire_pitch,vampire,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2976;2753;2978;3034,0,,,1448;1701;1738
vampire_run,vampire,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f3 still clipped after background,,256,64,4,4,21,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3070;2815;2892;2957,0,,,1393;1442;1226
vampire_swing,vampire,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f0 still clipped after background; f1 still clipped after background; f2 still clipped after background,,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2877;2906;2898;2973,0,,,1572;1630;1474
zombie_batting_stance,zombie,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",REPAIRABLE,,yes,64,64,1,1,23,0,4096,100.0,63,0,0,64,64,3066,0,,,
zombie_celebrate,zombie,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,25,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,3130;3132,0,,,934
zombie_idle,zombie,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",REPAIRABLE,,yes,128,64,2,2,22,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,3125;3128,0,,,1281
zombie_pitch,zombie,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2970;2961;2989;3061,0,,,1107;1419;1157
zombie_run,zombie,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,24,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3239;3170;3270;3357,0,,,1056;950;871
zombie_swing,zombie,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,25,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2990;2980;2975;3047,0,,,1534;876;1473
