strip,character,animation,classification,needs_art_reasons,classification_after_bg,after_bg_reasons,recovered_by_bg_removal,width,height,frame_count,expected_frames,color_count,semi_transparent_pixels,opaque_pixels_per_frame,opaque_coverage_pct,baseline_per_frame,interior_hole_pixels,interior_hole_total,edge_pixels_x0,edge_pixels_x63,background_pixels_per_frame,detached_islands,detached_island_detail,identical_frame_pairs,consecutive_frame_deltas
ichabod_crane_swing,ichabod_crane,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,19,0,1187;1167;1167;1101,28.98;28.49;28.49;26.88,62;62;62;62,0;0;0;3,3,0;0;10;0,0;0;7;0,0;0;1;0,4,"f1:8px@58,51-60,54 f1:4px@60,59-60,62 f2:48px@57,30-63,37 f3:8px@7,32-8,35",,1745;1427;1889
invisible_man_batting_stance,invisible_man,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,19,0,1355,33.08,62,25,25,0,0,13,1,"f0:10px@8,61-13,62",,
invisible_man_celebrate,invisible_man,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,19,0,1388;1294,33.89;31.59,62;62,2;12,14,0;0,0;0,12;18,0,,,924
invisible_man_idle,invisible_man,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,19,0,1168;1144,28.52;27.93,62;62,0;0,0,0;0,0;0,11;8,0,,,506
invisible_man_pitch,invisible_man,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,22,0,1132;1364;1318;1212,27.64;33.3;32.18;29.59,63;63;63;63,0;0;0;0,0,0;0;10;0,0;0;7;0,22;30;19;13,7,"f0:41px@34,61-49,63 f1:48px@22,60-37,63 f1:24px@59,40-62,48 f2:75px@52,12-61,21 f2:74px@18,59-35,63 f2:12px@62,34-63,40 f3:29px@28,61-41,63",,1487;1530;1947
invisible_man_run,invisible_man,run,NEEDS_ART,"clipped at canvas edge, frame(s) 1,2",NEEDS_ART,f1 still clipped after background; f2 still clipped after background,,256,64,4,4,21,0,1269;1397;1212;1224,30.98;34.11;29.59;29.88,63;63;62;62,3;0;3;4,10,0;5;9;0,0;0;13;0,19;20;21;13,6,"f0:79px@26,58-43,63 f0:12px@48,62-54,63 f0:4px@15,63-18,63 f1:80px@23,58-40,63 f1:75px@56,30-62,42 f2:45px@60,50-63,62",,1433;1789;1681
invisible_man_swing,invisible_man,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,22,0,1384;1261;1274;1155,33.79;30.79;31.1;28.2,63;62;62;62,0;0;0;0,0,0;0;5;0,0;0;10;0,10;17;13;16,6,"f0:22px@26,62-38,63 f1:20px@17,61-28,62 f2:8px@0,35-1,39 f2:8px@21,62-28,62 f3:31px@6,24-9,33 f3:8px@41,62-48,62",,1706;949;1407
jack_batting_stance,jack,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,21,0,1474,35.99,62,0,0,0,0,34,0,,,
jack_celebrate,jack,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,20,0,1561;1455,38.11;35.52,62;62,0;9,9,0;0,0;0,65;54,0,,,1312
jack_idle,jack,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,21,0,1511;1505,36.89;36.74,62;62,6;3,9,0;0,0;0,35;44,0,,,592
jack_pitch,jack,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1356;1688;1455;1390,33.11;41.21;35.52;33.94,62;62;62;62,1;0;6;4,11,0;0;0;0,0;0;0;0,41;70;40;36,3,"f2:29px@59,27-62,36 f2:11px@53,30-57,33 f3:46px@6,27-11,36",,1497;1809;1971
jack_run,jack,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,21,0,1515;1444;1505;1461,36.99;35.25;36.74;35.67,62;62;62;62,4;2;3;0,9,0;0;0;0,0;0;0;0,38;39;29;41,0,,,1142;1144;1204
jack_swing,jack,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1402;1356;1499;1445,34.23;33.11;36.6;35.28,62;62;62;62,0;0;2;0,2,0;0;0;0,0;0;0;0,54;50;65;51,2,"f2:72px@50,33-59,41 f2:4px@46,36-47,38",,1078;2009;1310
krampus_batting_stance,krampus,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,17,0,1517,37.04,63,0,0,0,0,0,0,,,
krampus_celebrate,krampus,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,15,0,1484;1368,36.23;33.4,62;62,0;0,0,0;0,0;0,0;0,0,,,1208
krampus_idle,krampus,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,16,0,1368;1353,33.4;33.03,62;62,0;0,0,0;0,0;0,0;0,0,,,529
krampus_pitch,krampus,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,17,0,1536;1533;1358;1346,37.5;37.43;33.15;32.86,63;63;63;63,0;0;0;0,0,0;0;0;0,0;0;0;0,0;0;0;0,5,"f0:52px@26,58-41,63 f1:51px@26,58-41,63 f2:51px@20,58-36,63 f3:65px@4,10-12,18 f3:49px@21,58-36,63",,1224;1666;1846
krampus_run,krampus,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,18,0,1316;1310;1281;1260,32.13;31.98;31.27;30.76,63;63;62;62,0;0;0;1,1,0;0;0;0,0;0;0;0,0;0;0;0,3,"f0:21px@30,60-39,63 f1:54px@19,57-27,63 f1:42px@34,59-48,63",,678;2002;671
krampus_swing,krampus,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,19,0,1480;1378;1441;1402,36.13;33.64;35.18;34.23,63;62;62;63,0;0;0;0,0,0;0;10;0,0;0;4;0,0;0;0;0,6,"f0:7px@35,62-39,63 f1:6px@20,61-24,62 f2:42px@0,18-4,27 f2:17px@53,14-61,24 f2:5px@22,61-25,62 f2:4px@49,12-50,13",,1818;1208;1766
lady_liberty_batting_stance,lady_liberty,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,19,0,1532,37.4,63,20,20,0,0,127,2,"f0:28px@22,0-36,1 f0:26px@39,0-52,1",,
lady_liberty_celebrate,lady_liberty,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,21,0,1613;1529,39.38;37.33,62;62,0;0,0,0;0,0;0,95;88,0,,,1156
lady_liberty_idle,lady_liberty,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,21,0,1529;1469,37.33;35.86,62;62,12;10,22,0;0,0;0,69;62,0,,,640
lady_liberty_pitch,lady_liberty,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,21,0,1397;1478;1344;1378,34.11;36.08;32.81;33.64,62;62;62;62,27;18;1;0,46,0;0;8;0,0;0;10;0,86;92;113;127,6,"f1:19px@57,55-59,62 f2:59px@57,29-63,38 f2:12px@50,30-55,31 f2:9px@47,33-54,34 f2:9px@50,37-55,38 f3:19px@2,30-4,37",,1452;1448;2125
lady_liberty_run,lady_liberty,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,14,0,1397;1375;1337;1360,34.11;33.57;32.64;33.2,62;62;62;62,1;0;0;0,1,0;0;0;0,0;0;0;0,128;89;92;107,0,,,793;910;716
lady_liberty_swing,lady_liberty,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,23,0,1521;1446;1397;1508,37.13;35.3;34.11;36.82,62;62;62;62,21;0;0;0,21,0;0;5;0,0;0;15;0,129;119;109;129,6,"f0:26px@40,1-52,2 f0:25px@19,1-31,2 f2:9px@61,33-63,37 f2:7px@55,35-57,38 f2:5px@0,40-0,44 f3:56px@2,39-7,50",,1745;1679;1607
long_john_silver_batting_stance,long_john_silver,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,12,0,203,4.96,62,0,0,0,0,0,2,"f0:51px@39,56-51,62 f0:17px@24,61-33,62",,
long_john_silver_celebrate,long_john_silver,celebrate,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,21,0,0;1036,0.0;25.29,-1;62,0;0,0,0;0,0;0,0;0,0,,,1036
long_john_silver_idle,long_john_silver,idle,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,22,0,0;1077,0.0;26.29,-1;62,0;0,0,0;0,0;0,0;0,1,"f1:49px@49,55-56,62",,1077
long_john_silver_pitch,long_john_silver,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1263;1302;1137;1319,30.83;31.79;27.76;32.2,63;63;63;63,0;2;0;0,2,0;0;0;0,0;0;0;0,0;0;0;0,6,"f0:497px@6,48-56,63 f1:460px@2,48-53,63 f1:20px@56,9-60,14 f1:14px@59,20-60,27 f2:450px@8,49-58,63 f3:450px@6,48-55,63",,1280;1396;1415
long_john_silver_run,long_john_silver,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,23,0,608;1039;1109;596,14.84;25.37;27.08;14.55,62;63;63;62,0;4;7;0,11,0;0;0;0,0;0;0;0,0;0;0;0,6,"f1:418px@10,47-56,63 f2:285px@37,43-55,63 f2:151px@8,52-36,63 f2:5px@57,46-60,49 f2:4px@53,40-55,43 f2:4px@29,49-32,51",,1575;1255;1592
long_john_silver_swing,long_john_silver,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,23,0,1301;1268;1149;1043,31.76;30.96;28.05;25.46,63;63;63;63,0;0;0;0,0,0;0;1;0,0;0;0;0,0;0;0;0,8,"f0:328px@11,52-54,63 f1:212px@7,55-52,63 f2:41px@11,60-24,63 f2:39px@55,56-61,62 f2:32px@58,7-62,13 f2:24px@27,62-41,63 f3:151px@22,56-58,63 f3:10px@4,7-5,12",,1443;1469;1707
medusa_batting_stance,medusa,batting_stance,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (142 px),,64,64,1,1,4,0,142,3.47,62,0,0,0,0,0,1,"f0:38px@14,57-21,62",,
medusa_celebrate,medusa,celebrate,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,18,0,0;1228,0.0;29.98,-1;62,0;0,0,0;0,0;0,0;0,1,"f1:10px@44,32-47,37",,1228
medusa_idle,medusa,idle,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,16,0,0;1114,0.0;27.2,-1;62,0;0,0,0;0,0;0,0;0,0,,,1114
medusa_pitch,medusa,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,20,0,1214;1150;1179;1231,29.64;28.08;28.78;30.05,63;63;63;63,2;0;0;0,2,0;0;0;0,0;0;0;0,2;0;0;0,9,"f0:301px@24,48-51,63 f1:325px@18,48-48,63 f2:322px@11,48-41,63 f2:11px@53,3-58,4 f2:6px@52,0-57,0 f2:4px@62,2-62,5 f2:4px@57,7-60,7 f3:341px@17,48-48,63 f3:48px@6,0-12,7",,909;1485;1820
